origin_airport,destination_airport,num_flights,o_lat,o_long,d_lat,d_long
SFO,LAX,15786,37.619,-122.37483999999999,33.94254,-118.40807
LAX,SFO,15564,33.94254,-118.40807,37.619,-122.37483999999999
JFK,LAX,12758,40.63975,-73.77893,33.94254,-118.40807
LAX,JFK,12752,33.94254,-118.40807,40.63975,-73.77893
LAX,LAS,11032,33.94254,-118.40807,36.08036,-115.15233
LAS,LAX,11028,36.08036,-115.15233,33.94254,-118.40807
LGA,ORD,10306,40.77724,-73.87261,41.9796,-87.90446
ORD,LGA,10164,41.9796,-87.90446,40.77724,-73.87261
SEA,LAX,10125,47.44898,-122.30931000000001,33.94254,-118.40807
LAX,SEA,10120,33.94254,-118.40807,47.44898,-122.30931000000001
HNL,OGG,9963,21.31869,-157.92241,20.89865,-156.43046
OGG,HNL,9959,20.89865,-156.43046,21.31869,-157.92241
ATL,MCO,9072,33.640440000000005,-84.42694,28.428890000000003,-81.31603
MCO,ATL,9067,28.428890000000003,-81.31603,33.640440000000005,-84.42694
SEA,SFO,8968,47.44898,-122.30931000000001,37.619,-122.37483999999999
SFO,SEA,8947,37.619,-122.37483999999999,47.44898,-122.30931000000001
LAX,ORD,8644,33.94254,-118.40807,41.9796,-87.90446
DEN,LAX,8633,39.85841,-104.667,33.94254,-118.40807
ORD,LAX,8602,41.9796,-87.90446,33.94254,-118.40807
LAX,DEN,8558,33.94254,-118.40807,39.85841,-104.667
ATL,LGA,8512,33.640440000000005,-84.42694,40.77724,-73.87261
LGA,ATL,8508,40.77724,-73.87261,33.640440000000005,-84.42694
SFO,LAS,8412,37.619,-122.37483999999999,36.08036,-115.15233
BOS,DCA,8354,42.36435,-71.00518000000001,38.85208,-77.03772
LAS,SFO,8349,36.08036,-115.15233,37.619,-122.37483999999999
DCA,BOS,8330,38.85208,-77.03772,42.36435,-71.00518000000001
ATL,FLL,7928,33.640440000000005,-84.42694,26.07258,-80.15275
FLL,ATL,7927,26.07258,-80.15275,33.640440000000005,-84.42694
SFO,JFK,7887,37.619,-122.37483999999999,40.63975,-73.77893
JFK,SFO,7884,40.63975,-73.77893,37.619,-122.37483999999999
SAN,SFO,7827,32.73356,-117.18966,37.619,-122.37483999999999
SFO,SAN,7800,37.619,-122.37483999999999,32.73356,-117.18966
ORD,MSP,7745,41.9796,-87.90446,44.88055,-93.21692
DEN,PHX,7659,39.85841,-104.667,33.43417,-112.00806000000001
PHX,DEN,7655,33.43417,-112.00806000000001,39.85841,-104.667
MSP,ORD,7602,44.88055,-93.21692,41.9796,-87.90446
